tw04_function	tw04_address	size	tw2005_address
__CARDEnableInterrupt	80176D8C	C0	801B4FBC
__CARDReadStatus	80176E4C	F0	801B507C
__CARDClearStatus	80176F3C	AC	801B516C
TimeoutHandler	80176FE8	A4	801B5218
Retry	8017708C	22C	801B52BC
UnlockedCallback	801772B8	110	801B54E8
__CARDStart	801773C8	1B4	801B55F8
__CARDReadSegment	8017757C	134	801B57AC
__CARDWritePage	801776B0	11C	801B58E0
__CARDEraseSector	801777CC	E0	801B59FC
CARDInit	801778AC	AC	801B5ADC
__CARDSetDiskID	80177960	38	801B5B90
__CARDGetControlBlock	80177998	B8	801B5BC8
__CARDPutControlBlock	80177A50	64	801B5C80
CARDGetResultCode	80177AB4	30	801B5CE4
CARDFreeBlocks	80177AE4	150	801B5D14
CARDGetEncoding	80177C34	88	801B5E64
__CARDSync	80177CBC	98	801B5EEC
OnReset	80177D54	50	801B5F84
bitrev	80177DA4	16C	801BA7A8
ReadArrayUnlock	80177F10	144	801BA914
DummyLen	80178054	C4	801BAA58
__CARDUnlock	80178118	B58	801BAB1C
InitCallback	80178C70	70	801BB674
DoneCallback	80178CE0	324	801BB6E4
__CARDRead	801790E0	64	801B60B0
__CARDWrite	80179220	64	801B61F0
WriteCallback	801792A4	D4	801B6274
__CARDAllocBlock	80179440	118	801B6410
__CARDFreeBlock	80179558	9C	801B6528
__CARDUpdateFatBlock	801795F4	AC	801B65C4
WriteCallback	801796A8	D0	801B6678
__CARDUpdateDir	80179840	C4	801B6810
__CARDCheckSum	80179904	1B0	801B68D4
VerifyID	80179AB4	284	801B6A84
VerifyDir	80179D38	240	801B6D08
VerifyFAT	80179F78	284	801B6F48
__CARDVerify	8017A1FC	8C	801B71CC
CARDCheckExAsync	8017A288	590	801B7258
IsCard	8017A840	CC	801B7810
CARDProbeEx	8017A90C	17C	801B78DC
DoMount	8017AA88	410	801B7A58
__CARDMountCallback	8017AE98	138	801B7E68
CARDMountAsync	8017AFD0	1A0	801B7FA0
DoUnmount	8017B170	9C	801B8140
CARDUnmount	8017B20C	AC	801B81DC
FormatCallback	8017B2B8	144	801B8288
__CARDFormatRegionAsync	8017B3FC	658	801B83CC
CARDFormatAsync	8017BA54	48	801B8A24
__CARDCompareFileName	8017BA9C	68	801B8A6C
__CARDAccess	8017BB04	94	801B8AD4
__CARDIsWritable	8017BB98	134	801B8B68
__CARDIsReadable	8017BCCC	F4	801B8C9C
__CARDGetFileNo	8017BDC0	150	801B8D90
CARDFastOpen	8017BF10	104	801B8EE0
CARDOpen	8017C014	11C	801B8FE4
CARDClose	8017C130	54	801B9100
CreateCallbackFat	8017C18C	130	801B915C
CARDCreateAsync	8017C2BC	220	801B928C
__CARDSeek	8017C4DC	1B8	801B94AC
ReadCallback	8017C694	130	801B9664
CARDReadAsync	8017C7C4	144	801B9794
CARDRead	8017C908	48	801B98D8
WriteCallback	8017C950	170	801B9920
EraseCallback	8017CAC0	B0	801B9A90
CARDWriteAsync	8017CB70	114	801B9B40
DeleteCallback	8017CC84	A4	801B9C54
CARDFastDeleteAsync	8017CD28	12C	801B9CF8
CARDDeleteAsync	8017CE54	110	801B9E24
UpdateIconOffsets	8017CF64	1F8	801B9F34
CARDGetStatus	8017D15C	114	801BA12C
CARDSetStatusAsync	8017D270	174	801BA240
CARDRenameAsync	8017D42C	1FC	801BA3FC
__CARDGetStatusEx	8017D628	A4	801BBA08
__CARDSetStatusExAsync	8017D6CC	29C	801BBAAC
CARDGetAttributes	8017D968	40	801BA5F8
CARDSetAttributesAsync	8017D9A8	E4	801BA638
__CARDEnableGlobal	8017DAD4	44	801BA764
